Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A112610,¾¾¿¡½ºÀ©µå,20220926,5690,49736,-56365,-13915,171,-29354,0,0,-12873,1051,-112,-394
A112610,¾¾¿¡½ºÀ©µå,20220928,51692,-112616,59859,-10516,1752,36494,0,4032,-2407,677,388,30504
A112610,¾¾¿¡½ºÀ©µå,20220927,43338,-63303,19797,-8287,2053,9911,0,3832,-5404,-193,361,17692
A112610,¾¾¿¡½ºÀ©µå,20220930,-10905,-18884,28726,4206,5742,16069,0,-7680,3466,774,289,6923
A112610,¾¾¿¡½ºÀ©µå,20220929,3139,-30072,26893,957,3398,7646,0,0,14634,-252,292,258
A112610,¾¾¿¡½ºÀ©µå,20221004,-13829,-8933,22784,-2109,763,-2076,0,4510,11303,282,-304,10393
A112610,¾¾¿¡½ºÀ©µå,20221006,-99343,-99025,184440,-11602,13107,66363,7549,-60,78745,14795,-867,30338
A112610,¾¾¿¡½ºÀ©µå,20221005,-49322,-25072,60104,-5864,7631,16210,7549,0,29443,14320,-30,5135
A112610,¾¾¿¡½ºÀ©µå,20221007,-25099,6937,18759,5219,2675,710,0,1,8859,-551,-46,1295
A112610,¾¾¿¡½ºÀ©µå,20221012,22641,-8018,-15701,-7071,-492,-12232,0,100,-3439,851,227,7433
A112610,¾¾¿¡½ºÀ©µå,20221011,22754,-9927,-13503,-1266,205,-12112,0,100,2543,551,125,-2973
A112610,¾¾¿¡½ºÀ©µå,20221014,-20767,13292,3990,-17708,-5029,-28913,0,-579,31619,3623,-138,24600
A112610,¾¾¿¡½ºÀ©µå,20221013,-8848,64472,-54386,-24927,-9444,-32896,0,-635,1967,-1366,128,11549
A112610,¾¾¿¡½ºÀ©µå,20221018,-11751,-42256,53173,2499,21428,-7416,0,0,33679,1003,-169,2983
A112610,¾¾¿¡½ºÀ©µå,20221017,-3146,-7747,11016,-4493,6118,-15632,0,0,25157,-27,-96,-134
