종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A099430,바이오플러스,20230106,-122732,39346,70407,12336,3814,24498,0,31608,0,1211,11768,-1849
A099430,바이오플러스,20230105,-50199,19674,16689,7046,1936,-1009,0,10000,0,5631,8205,-1284
A099430,바이오플러스,20230110,101468,-19808,-36527,3250,-23291,-11486,0,0,0,5072,-50205,-5000
A099430,바이오플러스,20230109,29746,15004,5147,-867,0,6014,0,0,0,437,-50334,0
A099430,바이오플러스,20230112,-105561,141066,-25890,18024,0,-14859,0,-1,0,-4065,-5550,-29054
A099430,바이오플러스,20230111,-171225,140302,3500,32264,0,291,0,-1,0,47,27376,-29054
A099430,바이오플러스,20230113,67836,-53399,-15364,-17,0,-15347,0,0,0,1017,-90,0
A099430,바이오플러스,20230116,-103457,94019,-9032,-9269,0,237,0,0,0,18432,38,0
A099430,바이오플러스,20230118,-188206,73277,102984,33333,0,69651,0,0,0,13173,-1228,0
A099430,바이오플러스,20230117,69,-50953,44865,24491,0,20374,0,0,0,6073,-54,0
A099430,바이오플러스,20230120,1016605,284235,323593,40719,76372,154210,0,25000,35000,-1653211,28778,-7708
A099430,바이오플러스,20230119,210626,27223,167977,7807,7483,127687,0,25000,0,-406989,1163,0
A099430,바이오플러스,20230126,-170527,425630,27342,43747,-39716,116933,0,-13300,12176,-141356,-141089,-92498
A099430,바이오플러스,20230125,-522023,264197,286702,134780,19216,206858,0,-12300,12088,-26034,-2842,-73940
A099430,바이오플러스,20230127,33871,-96471,51830,-8387,5579,66726,0,0,-12088,10626,144,0
A099430,바이오플러스,20230130,27556,-139791,58450,13635,2368,-13103,0,0,55550,50330,3455,0
A099430,바이오플러스,20230201,151316,-277334,94881,32504,0,20146,0,0,0,35061,-3924,42231
A099430,바이오플러스,20230131,86921,-101736,10136,8631,0,629,0,0,0,4099,580,876
A099430,바이오플러스,20230203,-17531,-139403,122635,17040,54307,-56725,0,0,100000,39284,-4985,8013
A099430,바이오플러스,20230202,-126421,-72699,131007,12245,56545,-29285,0,0,100000,73987,-5874,-8498
A099430,바이오플러스,20230207,31182,-90273,62646,19825,0,98116,0,-1,-55550,-3310,-245,256
A099430,바이오플러스,20230206,-9603,-28629,39437,582,0,38855,0,0,0,643,-1848,0
A099430,바이오플러스,20230209,-26686,-3629,24273,6507,-2658,2278,0,1,0,4826,1216,18145
A099430,바이오플러스,20230208,-25194,1920,24635,4490,0,2000,0,0,0,-1383,22,18145
A099430,바이오플러스,20230210,-201111,109164,126184,38196,18225,-70698,0,-6950,0,-32241,-1996,147411
A099430,바이오플러스,20230213,289309,-216627,-61586,3086,3500,-67107,0,-1022,0,-6971,-4125,-43
A099430,바이오플러스,20230215,363034,-94074,-273906,-39965,-23046,-109744,0,12500,0,5860,-914,-113651
A099430,바이오플러스,20230214,19342,-10010,1512,-10626,0,-462,0,0,0,-11358,514,12600
A099430,바이오플러스,20230217,138866,-12762,-169384,6045,-12594,-137106,0,22232,-47950,40700,2580,-11
A099430,바이오플러스,20230216,168632,17629,-182343,7450,-11237,-137695,0,7100,-47950,-4619,701,-11
A099430,바이오플러스,20230221,-71640,-11967,86617,31864,-3775,27164,0,2100,0,-1533,-1477,29264
A099430,바이오플러스,20230220,-75573,13622,65190,30636,0,3790,0,1500,0,-1390,-1849,29264
A099430,바이오플러스,20230223,6573,78643,-87830,-6385,-19840,-59292,0,13900,0,2502,112,-16213
A099430,바이오플러스,20230222,-4593,74333,-57914,162,-19840,-49231,0,10300,0,-11238,-588,695
A099430,바이오플러스,20230224,-121485,124544,-876,2864,-4343,8812,0,-5528,0,-2484,301,-2681
A099430,바이오플러스,20230227,-89886,34255,44147,25,0,40549,0,3000,0,11449,35,573
A099430,바이오플러스,20230228,-53135,6026,18377,-378,0,16847,0,0,0,29117,-385,1908
A099430,바이오플러스,20230303,92923,70652,-240095,5462,-39476,-51962,0,967,-87050,77267,-747,-68036
A099430,바이오플러스,20230302,84081,-46087,-85215,6186,-39476,-11925,0,0,-40000,47041,180,0
A099430,바이오플러스,20230307,16851,17424,-57667,3014,0,-57032,0,0,0,22759,633,-3649
A099430,바이오플러스,20230306,-84340,130377,-51518,1091,0,-53433,0,0,0,5538,-57,824
A099430,바이오플러스,20230309,-1155,-57497,66334,17014,-2572,51892,0,0,0,-11008,3326,0
A099430,바이오플러스,20230308,18779,-77626,45582,16567,0,29015,0,0,0,11114,2151,0
A099430,바이오플러스,20230310,-7740,12055,-6138,1480,0,-5001,0,1,0,1951,-128,-2618
A099430,바이오플러스,20230313,-102726,76082,-6366,-8527,0,1309,0,0,0,1266,31744,852
A099430,바이오플러스,20230315,48446,2767,40188,-172,0,31907,0,0,0,-62131,-29270,8453
A099430,바이오플러스,20230314,41246,18025,28058,1126,0,24413,0,0,0,-58045,-29284,2519
A099430,바이오플러스,20230317,12790,-16515,37576,12516,0,15502,0,0,0,-34005,154,9558
A099430,바이오플러스,20230316,13918,-8277,20037,-329,0,15502,0,0,0,-25472,-206,4864
A099430,바이오플러스,20230321,45378,-72128,12514,735,-3500,15353,0,0,0,14605,-369,-74
A099430,바이오플러스,20230320,16618,-41139,21559,1276,0,20353,0,0,0,3612,-650,-70
A099430,바이오플러스,20230323,-21640,86273,-22856,-4143,0,-12177,-6536,0,0,-42229,452,0
A099430,바이오플러스,20230322,-728,-6323,-5191,766,0,-5957,0,0,0,11810,432,0
A099430,바이오플러스,20230324,-3789,15899,-26044,19147,0,-49671,0,0,0,13961,-27,4480
A099430,바이오플러스,20230327,-4060,3186,319,348,0,73,0,0,0,612,-57,-102
A099430,바이오플러스,20230329,20951,-7362,17139,-5883,0,-4709,0,0,0,-30488,-240,27731
A099430,바이오플러스,20230328,-48382,61827,14557,1429,0,13128,0,0,0,-27979,-23,0
A099430,바이오플러스,20230331,135340,-76648,-53929,871,0,-47077,0,0,0,-5519,756,-7723
A099430,바이오플러스,20230330,59646,-36903,-30807,-1753,0,-22114,0,0,0,7851,213,-6940
A099430,바이오플러스,20230404,-121366,6852,47017,-20738,0,49165,0,0,0,61335,6162,18590
A099430,바이오플러스,20230403,240548,-266323,7076,-4302,0,11378,0,0,0,19186,-487,0
A099430,바이오플러스,20230406,-77286,20105,38421,6516,0,11321,0,0,0,15305,3455,20584
A099430,바이오플러스,20230405,-51496,28750,-2436,9011,0,5939,0,0,0,24147,1035,-17386
