Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,°³ÀÎ,¿Ü±¹ÀÎ,±â°ü°è,±ÝÀ¶ÅõÀÚ,º¸Çè,Åõ½Å,ÀºÇà,±âÅ¸±ÝÀ¶,¿¬±â±Ý,±âÅ¸¹ýÀÎ,±âÅ¸¿ÜÀÎ,»ç¸ðÆÝµå
A313760,Àª¸µ½º,20230331,-117,1117,0,0,0,0,0,0,0,-1000,0,0
A313760,Àª¸µ½º,20230403,-375,375,0,0,0,0,0,0,0,0,0,0
A313760,Àª¸µ½º,20230405,-3842,9068,-2979,-2996,0,17,0,0,0,-2252,5,0
A313760,Àª¸µ½º,20230404,-4539,8157,-2908,-2996,0,88,0,0,0,-715,5,0
A313760,Àª¸µ½º,20230407,1426,-1681,0,0,0,0,0,0,0,250,5,0
A313760,Àª¸µ½º,20230406,4,-159,0,0,0,0,0,0,0,150,5,0
A313760,Àª¸µ½º,20230411,-9578,8227,4292,0,0,4292,0,0,0,-2911,-30,0
A313760,Àª¸µ½º,20230410,-2724,1713,1036,0,0,1036,0,0,0,-15,-10,0
A313760,Àª¸µ½º,20230413,1829,9038,-2557,0,0,-2557,0,0,0,-7956,-354,0
A313760,Àª¸µ½º,20230412,13538,-10453,3595,0,0,3595,0,0,0,-6436,-244,0
A313760,Àª¸µ½º,20230414,2402,-2304,-216,0,0,-216,0,0,0,0,118,0
A313760,Àª¸µ½º,20230417,18572,-21714,5497,0,0,5497,0,0,0,153,-2508,0
A313760,Àª¸µ½º,20230419,97339,-37655,872,0,0,872,0,0,0,-60169,-387,0
A313760,Àª¸µ½º,20230418,76617,-37045,872,0,0,872,0,0,0,-40056,-388,0
A313760,Àª¸µ½º,20230421,18528,-451,1124,744,0,0,0,0,0,-19200,-1,380
A313760,Àª¸µ½º,20230420,19201,0,0,0,0,0,0,0,0,-19200,-1,0
A313760,Àª¸µ½º,20230425,-40848,44990,-3110,0,0,-3110,0,0,0,-210,-822,0
