¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A018000,¿Ø¥œΩº,20230421,124374,-121769,-2883,2790,0,-5673,0,0,0,0,278,0
A018000,¿Ø¥œΩº,20230420,123697,-117539,-5578,-466,0,-5112,0,0,0,41,-621,0
A018000,¿Ø¥œΩº,20230425,171900,-161159,-13568,-8068,0,-5500,0,0,0,2700,127,0
A018000,¿Ø¥œΩº,20230424,137608,-129630,-10809,-5309,0,-5500,0,0,0,2785,46,0
A018000,¿Ø¥œΩº,20230427,60829,-55052,-3182,-3182,0,0,0,0,0,-2600,5,0
A018000,¿Ø¥œΩº,20230426,47094,-42797,-1762,-1762,0,0,0,0,0,-2540,5,0
A018000,¿Ø¥œΩº,20230428,87567,-90124,-150,-150,0,0,0,0,0,-524,3231,0
A018000,¿Ø¥œΩº,20230503,144594,-142519,-1999,-1999,0,0,0,0,0,20,-96,0
A018000,¿Ø¥œΩº,20230502,40402,-39225,-1101,-1101,0,0,0,0,0,20,-96,0
A018000,¿Ø¥œΩº,20230504,-14090,14012,75,75,0,0,0,0,0,0,3,0
A018000,¿Ø¥œΩº,20230509,57842,-51308,572,572,0,0,0,0,0,-3200,-3906,0
A018000,¿Ø¥œΩº,20230508,12499,-5811,408,408,0,0,0,0,0,-3200,-3896,0
A018000,¿Ø¥œΩº,20230511,-13166,8560,3255,3255,0,0,0,0,0,1000,351,0
A018000,¿Ø¥œΩº,20230510,-7136,6601,525,525,0,0,0,0,0,0,10,0
A018000,¿Ø¥œΩº,20230512,92892,-92137,-2136,-2136,0,0,0,0,0,0,1381,0
A018000,¿Ø¥œΩº,20230515,176442,-195026,5515,515,0,4583,0,0,0,12000,1069,417
A018000,¿Ø¥œΩº,20230517,12534,-17244,7630,130,0,7500,0,0,0,130,-3050,0
A018000,¿Ø¥œΩº,20230516,28034,-30880,2676,176,0,2500,0,0,0,80,90,0
A018000,¿Ø¥œΩº,20230519,-136113,73762,8712,712,0,8000,0,0,0,-10613,64252,0
A018000,¿Ø¥œΩº,20230518,-45901,48187,1720,1720,0,0,0,0,0,-6050,2044,0
A018000,¿Ø¥œΩº,20230523,-157948,200432,-1359,-359,0,-1000,0,0,0,22000,-63125,0
A018000,¿Ø¥œΩº,20230522,-203808,184168,-1487,-487,0,-1000,0,0,0,22000,-873,0
A018000,¿Ø¥œΩº,20230525,18000,-15240,1328,3328,0,-2000,0,0,0,0,-4088,0
A018000,¿Ø¥œΩº,20230524,-39132,40457,-499,1501,0,-2000,0,0,0,0,-826,0
A018000,¿Ø¥œΩº,20230526,70222,-70539,87,87,0,0,0,0,0,19,211,0
A018000,¿Ø¥œΩº,20230531,-47657,-10276,6956,11956,0,-5000,0,0,0,14060,36917,0
A018000,¿Ø¥œΩº,20230530,-15547,-18929,6402,11402,0,-5000,0,0,0,14060,14014,0
A018000,¿Ø¥œΩº,20230602,-617396,543877,-13781,-11782,0,-1999,0,0,0,4761,82539,0
A018000,¿Ø¥œΩº,20230601,-29195,14237,679,679,0,0,0,0,0,-19,14298,0
A018000,¿Ø¥œΩº,20230605,-142935,59196,51510,51510,0,0,0,0,0,-3486,35715,0
A018000,¿Ø¥œΩº,20230608,1065653,-1004080,-62615,-57630,0,0,0,0,0,-28924,29966,-4985
A018000,¿Ø¥œΩº,20230607,-143469,60544,-52296,-52748,0,0,0,0,452,97931,37290,0
A018000,¿Ø¥œΩº,20230609,31703,-214850,161489,30917,0,87048,0,0,0,-5765,27423,43524
A018000,¿Ø¥œΩº,20230612,30863,-41598,5723,411,0,6098,0,0,0,56175,-51163,-786
A018000,¿Ø¥œΩº,20230614,69455,106800,-976,566,0,-1542,0,0,0,-36879,-138400,0
A018000,¿Ø¥œΩº,20230613,-136127,311775,-2867,-1325,0,-1542,0,0,0,-38477,-134304,0
A018000,¿Ø¥œΩº,20230616,148036,-133259,-10135,-12429,0,1821,0,0,0,-13919,9277,473
A018000,¿Ø¥œΩº,20230615,171423,-161031,-11913,-11913,0,0,0,0,0,-635,2156,0
A018000,¿Ø¥œΩº,20230620,-151052,63672,-990,13475,0,-6128,0,0,0,63924,24446,-8337
A018000,¿Ø¥œΩº,20230619,-252689,237773,-78,-78,0,0,0,0,0,8768,6226,0
A018000,¿Ø¥œΩº,20230622,-19828,48177,10860,-6018,0,0,0,0,0,-31524,-7685,16878
A018000,¿Ø¥œΩº,20230621,-11410,38350,10860,-6018,0,0,0,0,0,-32531,-5269,16878
