,단어,빈도
443,창고,148
444,본격,148
445,유통,148
446,대형주,148
447,상장,148
448,오스,148
449,결정,147
450,배,147
451,진입,147
452,물가,147
453,바이,146
454,역대,146
455,안정,146
456,기가스,145
457,환경,145
458,공사,145
459,차세대,145
460,의복,144
461,모습,143
462,제외,143
463,공,143
464,우리나라,143
465,합세,142
466,구,142
467,환자,142
468,메,142
469,설치,141
470,공시,141
471,돌파,141
472,FOMC,141
473,연봉,141
474,P,140
475,정보,140
476,점,140
477,한화,140
478,자금,140
479,분,140
480,기부,140
481,30,139
482,규제,139
483,질환,139
484,물량,139
485,광물,138
486,강보,138
487,인터내셔널,138
488,수,138
489,월드,138
490,부품,137
491,자동차,137
492,격차,137
493,3조,137
494,주제,137
495,연간,137
496,융합,137
497,비중,136
498,1,136
499,미팅,136
500,금감원,136
501,인,135
502,6,135
503,주도,135
504,컨벤션,135
505,소비자,134
506,서,134
507,초,133
508,음식,133
509,미,133
510,퍼레이드,133
511,협상,133
512,치,132
513,의장,131
514,도,131
515,증설,131
516,협약,129
517,차지,129
518,사진,128
519,확인,128
520,감독,128
521,비교,127
522,외인,127
523,대신,127
524,도세,127
525,위기,-1
526,경험,127
527,침체,-1
528,약품,125
529,8,124
530,부족,-1
531,설비,124
532,유전자,124
533,제한,124
534,비전,124
535,동반,123
536,낙폭,-1
537,법인,123
538,영,123
539,존림,123
540,9시,122
541,기기,122
542,500,122
543,방식,122
544,3년,122
545,종합,122
546,배터리,122
547,이사,122
548,025,121
549,앤드,121
550,우,121
551,률,121
552,기회,121
553,발생,120
554,의견,120
555,적극,120
556,종가,120
557,건강,120
558,둔화,120
559,서비스업,119
560,BMS,119
561,이경민,118
562,물질,118
563,인식,118
564,M,118
565,실현,117
566,생각,117
567,차익,117
568,처,117
569,정도,117
570,학생,117
571,등락,-1
572,운송,116
573,우수,116
574,의미,116
575,양,115
576,사회,115
577,폐,115
578,허브,114
579,자산,114
580,관,114
581,비즈니스,114
582,통신업,113
583,포트폴리오,113
584,아이,113
585,티,113
586,상대,113
587,mRNA,113
588,기여,113
589,소개,113
590,학과,113
591,외환,112
592,유입,112
593,인프라,112
594,제시,112
595,체험,112
596,부,112
597,전통,111
598,K,111
599,소식,110
600,암,110
601,자체,110
602,판단,110
603,코리아,110
604,유정복,110
605,인공,109
606,속도,109
607,위주,109
608,팀,109
609,여,109
610,프로그램,108
611,생태,108
612,금액,108
613,식,108
614,온라인,108
615,집계,107
616,고,107
617,디스플레이,107
618,제조업,106
619,1만,106
620,지능,105
621,접합체,105
622,사람,105
623,단지,105
624,상향,105
625,풀이,104
626,어스,104
627,적용,104
628,상태,104
629,데이터,104
630,주주,104
631,더,103
632,013,103
633,스타트업,103
634,단계,102
635,가량,102
636,셀,102
637,변화,101
638,진흥,101
639,저,101
640,4월,101
641,1분,101
642,키움,100
643,Fed,100
644,다우존스,100
645,입주,100
646,특별,100
647,고용,100
648,후보,100
649,재,100
650,회계,100
651,확산,99
652,체계,99
653,FDA,99
654,연구개발,98
655,요인,98
656,신화,98
657,026,97
658,건,97
659,개국,97
660,파이프라인,97
661,휴대폰,97
662,식료품,96
663,역청,96
664,7,96
665,바탕,96
666,선정,96
667,채용,96
668,대회,96
669,합병,96
670,과학,96
671,음,95
672,열사,95
673,최종,95
674,2조,95
675,일정,95
676,3월,95
677,카,95
678,비율,95
679,유,94
680,시티,94
681,부지,94
682,스위스,94
683,방송,93
684,별도,93
685,방침,93
686,경계,93
687,011,93
688,018,93
689,감사,93
690,상무,92
691,기타,92
692,전국,92
693,단일,92
694,효율,92
695,자회사,92
696,038,92
697,네,92
698,항암제,92
699,호텔,91
700,오픈,91
701,005,91
702,플랜트,91
703,입,91
704,교수,91
705,창,91
706,023,90
707,원장,90
708,급락,-1
709,테크,90
710,구역,90
711,노력,90
712,6월,90
713,KB,90
714,주체,89
715,동력,89
716,2500,89
717,장사,89
718,감,88
719,시민,88
720,대금,88
721,순위,88
722,시스템,88
723,공채,88
724,소프트웨어,87
725,014,87
726,엔비디아,87
727,공유,87
728,사례,87
729,반,87
730,투,87
731,설계,87
732,앵커,87
733,네트워크,87
734,보고서,87
735,에스,87
736,017,87
737,벤,87
738,필수,87
739,중소기업,87
740,에스엠,86
741,푸,86
742,조,86
743,의지,86
744,중공업,86
745,창업,86
746,라이프,86
747,협의,85
748,선호,85
749,위치,85
750,어드벤처,85
751,증권사,85
752,가족,85
753,지정,84
754,051,84
755,식품,84
756,교류,84
757,18만,84
758,론,84
759,학부,84
760,공격,84
761,5일,84
762,선물,83
763,모비스,83
764,진단,83
765,해결,83
766,압력,83
767,생명,83
768,개별,83
769,CPI,83
770,형,82
771,프로젝트,82
772,인터넷,81
773,028,81
774,스탠더드,81
775,승인,81
776,투입,81
777,위험,-1
778,변동,81
779,장관,81
780,동결,81
781,주력,81
782,12,81
783,지구,81
784,발언,80
785,오락,80
786,팜,80
787,사용,80
788,제청,80
789,차별,80
790,5월,80
791,테슬라,80
792,GC,80
793,아동,80
794,건립,80
795,완화,79
796,극,79
797,043,79
798,대한민국,79
799,동시,79
800,사이,79
801,사전,79
802,전시,79
803,추정,79
804,단독,79
805,8일,79
806,언론,79
807,유통업,78
808,연구,78
809,료,78
810,점유,78
811,특정,78
812,인플레이션,78
813,리터,78
814,엔,78
815,연초,78
816,의,78
817,누적,78
818,순이익,78
819,인하,78
820,수혜,78
821,유한양행,78
822,출장,78
823,플래그,78
824,046,77
825,016,77
826,신청,77
827,SB,77
828,먹거리,77
829,목표,77
830,044,76
831,력,76
832,보호,76
833,청,76
834,사건,76
835,계기,76
836,두,76
837,릴리,76
838,015,75
839,소화,75
840,해소,75
841,도전,75
842,사실,75
843,홍보,75
844,수익률,75
845,컴퓨터,75
846,2021년,75
847,점검,75
848,일라이,75
849,파이어니어,75
850,036,74
851,한지영,74
852,리더,74
853,법,74
854,애플,74
855,앤,74
856,압도,74
857,아페얀,74
858,024,73
859,품질,73
860,구조,73
861,수치,73
862,방향,73
863,IT,73
864,역사,73
865,ESG,73
866,이용,73
867,042,73
868,대학교,73
869,2600,73
870,품목,73
871,공간,73
872,050,73
873,완전,73
874,링커,73
875,서상영,72
876,종,72
877,검토,72
878,머크,72
879,선도,72
880,달성,72
881,053,72
882,현,72
883,이외,72
884,윤석열,72
885,GSAT,72
886,,71
887,파월,71
888,관련,71
889,보수,71
890,신뢰,0
891,지급,71
892,음악,71
893,신설,71
894,마이크로,70
895,이차,70
896,지적,70
897,061,70
898,그동안,70
899,생활,70
900,인사,70
901,아시아,70
902,컨퍼런스,70
903,책임자,70
904,인하대,70
905,5년,70
906,급증,0
907,분기,70
908,대구,70
909,씨,69
910,039,69
911,측면,69
912,012,69
913,10년,69
914,트,69
915,축소,-1
916,PD,68
917,김석환,68
918,장주,68
919,나,68
920,상품,68
921,하이브,68
922,부각,68
923,037,68
924,매매,67
925,준,67
926,대기업,67
927,병원,67
928,학회,67
929,복,67
930,댄스,67
931,연내,67
932,소통,66
933,토리,66
934,타워,66
935,초기,66
936,너,66
937,공공,66
938,056,66
939,단기,66
