辆格内靛,辆格疙,朝楼,俺牢,寇惫牢,扁包拌,陛蓝捧磊,焊氰,捧脚,篮青,扁鸥陛蓝,楷扁陛,扁鸥过牢,扁鸥寇牢,荤葛戚靛
A328130,风粗,20221026,66024,-94549,19915,7864,0,8896,0,0,3057,8530,80,98
A328130,风粗,20221028,76395,-6754,-67522,-3192,-1375,-44636,0,-1,0,-1228,-891,-18318
A328130,风粗,20221031,24935,-19172,-11888,67,0,-801,0,0,-18331,8246,-2121,7177
A328130,风粗,20221102,-31272,-4905,18577,-232,-340,11732,0,0,0,17673,-73,7417
A328130,风粗,20221101,-10283,-8462,6790,-424,-340,587,0,0,0,12000,-45,6967
A328130,风粗,20221104,-4211,-2437,4182,4273,-258,-5644,0,0,0,2611,-145,5811
A328130,风粗,20221103,7616,-6772,-811,3959,-258,-5644,0,0,0,112,-145,1132
A328130,风粗,20221108,-14772,6875,6645,-115,-812,701,0,0,0,1188,64,6871
A328130,风粗,20221107,5269,-4411,-1703,-207,-424,0,0,0,0,496,349,-1072
A328130,风粗,20221110,8293,-10939,2631,312,-152,828,0,0,0,100,-85,1643
A328130,风粗,20221109,-79,-3808,3872,138,-152,828,0,0,0,100,-85,3058
A328130,风粗,20221111,-13759,13892,-93,192,-285,0,0,0,0,-72,32,0
A328130,风粗,20221114,-43662,25650,15825,719,0,4003,0,0,0,1609,578,11103
A328130,风粗,20221116,30225,-17276,-6337,906,0,1450,0,0,0,-6219,-393,-8693
A328130,风粗,20221115,14912,-5141,-8195,761,0,457,0,0,0,-1119,-457,-9413
A328130,风粗,20221118,22313,-5395,-12077,-2257,-148,2368,0,0,-8188,-4850,9,-3852
A328130,风粗,20221117,7160,11604,-15082,-5180,-58,2196,0,0,-8188,-3174,-508,-3852
A328130,风粗,20221122,9149,-7874,-1287,-1006,-98,-183,0,0,0,0,12,0
A328130,风粗,20221121,8334,-8174,-205,76,-98,-183,0,0,0,0,45,0
A328130,风粗,20221124,-16716,3913,19534,2029,1526,12882,0,-3441,-626,-6675,-56,7164
A328130,风粗,20221123,-9566,5725,3939,-216,0,0,0,0,-430,0,-98,4585
A328130,风粗,20221125,1842,-10267,10952,2395,-185,-971,0,0,-152,-2496,-31,9865
A328130,风粗,20221128,5200,-3866,-3481,-142,-239,-1360,0,0,-169,2635,-488,-1571
A328130,风粗,20221130,-927,3281,126,211,0,0,0,0,-429,-2462,-18,344
A328130,风粗,20221129,-108,2402,168,253,0,0,0,0,-429,-2462,0,344
A328130,风粗,20221202,-999,8127,2225,-12,0,0,0,0,-113,-9500,147,2350
A328130,风粗,20221201,9059,423,-108,5,0,0,0,0,-113,-9371,-3,0
A328130,风粗,20221206,6296,-8101,648,1859,0,0,0,0,-334,1150,7,-877
A328130,风粗,20221205,7490,-7403,-98,237,0,0,0,0,-334,0,11,-1
A328130,风粗,20221208,11059,7141,-1994,3025,0,-257,0,-3441,0,-16165,-41,-1321
A328130,风粗,20221207,-4763,-159,4784,4784,0,0,0,0,0,126,12,0
A328130,风粗,20221209,-2813,3024,1937,-1203,23,3152,0,0,-135,-2150,2,100
A328130,风粗,20221212,1060,-2544,1485,1637,0,-8,0,0,-144,0,-1,0
A328130,风粗,20221214,-973,13380,7375,-27092,0,18778,0,-3441,-77,-19731,-51,19207
A328130,风粗,20221213,14441,6901,-1413,-9364,0,600,0,-3441,0,-19929,0,10792
A328130,风粗,20221216,-13557,20081,12381,-110,-219,-3109,0,-3441,-17328,-18823,-82,36588
A328130,风粗,20221215,-33217,34376,11736,-357,-219,-2193,0,-3441,-17328,-12823,-72,35274
A328130,风粗,20221220,25178,-17285,23763,1152,2656,4946,0,-6881,-291,-31682,26,22181
A328130,风粗,20221219,5597,-3875,16712,559,2727,3275,0,-3441,-291,-18424,-10,13883
A328130,风粗,20221222,15023,23365,4017,264,0,9800,0,-6632,-111,-44300,1895,696
