단어
서울뉴시스
김경택
기자
""
셀바스는
유상증자
차
발행가액이
만원으로
결정됐다고
일
공시했다확정
발행가액은
다음
달
일
산정돼
같은달
일
공시될
예정이다
곽민철
대표
교육
의료
메타모빌리티
등
전
분야
성과
에서
캐시카우
만든다곽민철
셀바스
사진제공셀바스년간
쌓은
음성인식
데이터
장벽을
기반으로
교육
분야에서
이익을
시현할
계획입니다곽민철
대표는
최근
머니투데이와
인터뷰에서
인공지능
중심의
정보기술
패권
전쟁에서
선택과
집중을
통한
성장모델을
구축
중이라며
이같이
밝혔다
대규모
자금이
투입되는
""
기술개발이
아니라
음성인식을
활용해
사람의
손을
대체할
수
있는
분야에
진출해
캐시카우현금창출원를
만들고
있다
년
설립된
관련
상장사
가운데
가장
다양한
성과를
내고
의료
셀비
메디보이스
음성기록
셀비노트
디지털
교과서
제작
셀펍질병
발병
확률
예측
솔루션
셀비체크업
등이
제품이다
지난해
매출액
억원
영업이익
억원을
올렸다
빠른
사업
확장은
인식률
""
이상의
기술
덕분이다
회사는
약
년간의
딥러닝
연구를
통해
음성인식
음성합성
필기
및영상인식
등의
기술을
보유하고
보유한
원천기술
특허가
건에
달한다
셀비노트는
개
경찰서에
적용되어
있고
보건복지부
특허청
등으로
사용처가
확대되고
곽
생활을
편리하게
하는
기술은
사람이
일하는
방법을
바꿀
때
진정한
가치가
전환이
빠르게
이뤄지는
분야를
타깃으로
내부에서
여개의
과제를
진행하고
있다고
말했다
이어
음성데이터는
쉽게
확보할
없는
아날로그
데이터라며
년간
덕분에
국내
대기업에
독점
공급하고
설명했다
대표가
생각한
주요
분야는
메타모빌리티다
를
개인별
맞춤
교육에
도움을
줄
환자
맞춤형
실시간
원격진료가
가능하다고
전했다셀바스는
하반기부터
국방부
예산을
받아
군
이동형
원격
사업을
시작한다
향후
챗
""
글로벌
헬스케어
융합해
실버
민간
사업의
주도권을
계획이라고
특히
셀바스의
성장을
위해
연구개발
자금
확보가
중요하다고
강조했다
현재
진행
중인
억원의
주주배정
억원이
에
사용될
예정이다곽
""
시장은
마지막
생존자가
시장을
독식할
있을
것이라며
그동안
수익화를
위한
포트폴리오
구성과
""
재투자를
했으나
이제는
투입을
파트너십
구축과
필요한
시점이라고
했다그는
셀바스와
셀바스헬스케어가
분야별로
빌드업하는
과정을
보면
선순환
고리를
어떻게
만드는지
확인할
있다라며
빌드업
과정이
기업가치
재평가와
주가
상승세로
이어질
것이라고
자신했다
이데일리
이용성
기자
인공지능
전문기업
셀바스는
제회
국제인공지능대전
""
""
에서
신제품을
공개할
예정이라고
일
사진셀바스회사
측에
따르면
오는
일부터
일까지
서울
코엑스에서
개최되는
해당
행사에서
""
제품
셀비
노트
""
과
디지털교과서
