단어,개수
분석할,1
건강,1
상태를,1
다각도로,1
분석한,1
리포트,1
제공은,1
"물론,",1
연령별,1
기존,1
발병자와의,1
건강수치를,1
비교해,1
개선,1
방법도,1
알려준다.윤상원,1
헬스케어부문,1
사업대표는,1
“최근,2
보험사,1
등의,1
서비스는,1
금융,1
상품,1
"추천,",1
보장분석뿐,1
차별화된,1
맞춤형,2
서비스로,2
진화,1
중”이라며,1
“셀비,1
온·오프라인,1
적용을,1
소비자,1
"중심,",1
개인에게,1
가장,1
밀접한,1
건강관리,1
자리매김하고,1
있다”고,1
안혜신,2
"인공지능,",1
음성기술기업,1
음성기록,10
노트,4
2.0’이,1
조달청,4
디지털서비스몰에,2
등록되었다고,1
30일,3
디지털서비스몰은,2
IT,2
상품과,2
서비스전용,2
공공조달,2
플랫폼이다.,1
등록을,5
가격에,2
"투명성,",2
합리적,2
프로세스로,2
공공기관,2
담당자들이,2
좀,2
더,2
편리하게,3
2.0을,2
구매할,2
셀비노트,3
2.0은,2
대화,2
내용이,2
기록되는,2
솔루션으로,1
전국,3
경찰서,3
조사관과,2
지자체,2
소속,3
아동학대,5
현장조사,5
전담,2
공무원들은,2
해당,2
제품을,3
조서를,2
작성,4
현재,2
여성청소년과,1
"조사실,",3
대우조선해양,1
스마트,1
"선박,",1
군,1
수사,1
등에서,4
사용되고,1
상담,1
활동이,1
잦은,1
"현장조사,",1
해바라기,1
센터,1
분야로,1
나가고,1
2.0,3
고정형은,1
"상담실,",2
회의실,2
사용할,4
이동형은,1
고성능,2
노트북에,2
음성인식,3
엔진을,2
탑재해,2
장소에서,1
휴대성을,1
극대화했다.,1
말하는,1
즉시,1
화자가,1
구분되어,1
음성기록이,1
작성되는,1
실시간,1
방식과,1
시,2
녹음한,1
파일을,1
업로드해,1
작성할,1
있는,1
비실시간,1
방식,1
지원,1
장명근,1
"프로덕트오너(PO,",1
Product,1
Owner)는,1
“조달,1
위해서는,2
GS인증,2
"획득,",2
시험결과서,2
제출,2
제품의,3
기술력과,2
품질을,2
검증하기,2
위한,3
까다로운,2
과정을,2
거쳐야,2
한다”면서,1
급증하는,2
신속한,2
조사,2
업무,2
대응을,2
공공시장에서의,2
솔루션에,2
역할이,2
중요해지고,2
노트의,2
수요가,2
더욱,2
확대될,2
전망된다”고,1
말했다.한편,1
조달,1
기념해,1
이벤트도,1
진행,1
[서울=뉴시스]신항섭,1
인공지능·음성기술,1
노트(Selvy,1
Note),1
2.0'을,1
나라장터,1
등록됐다고,1
플랫폼이다.이번,1
있다.셀비노트,1
AI,4
'고정형'은,1
'이동형'은,1
있다.장명근,1
프로덕트오너(PO)는,1
"""조달",1
"한다""며",1
"""최근",1
"전망된다""고",1
삼성증권은,1
28일,1
셀바스AI(108860)에,1
대해,1
상장사,1
표준화된,3
개발에,2
성공한,1
업체라고,1
평가했다.,1
투자의견과,1
목표가는,1
제시하지,1
않았다.셀바스AI는,1
지난,1
1999년,1
설립돼,1
2009년,1
코스닥,1
시장에,1
상장한,1
1호,1
상장사다.,1
영역은,1
컴퓨터와,1
인간이,1
쉽고,1
편하게,1
상호작용할,1
하는,1
기술인,1
HCI(Human,1
Computer,1
Interaction),1
부문이다.,1
HCI,2
기술은,1
인공지능의,1
핵심,1
분야,1
하나로,1
평가받고,1
자연어처리,1
있다.국내,1
업계의,1
문제점은,1
대부분의,1
기업이,1
기술,1
솔루션은,1
가지고,1
있으나,1
개발에는,1
성공하지,1
못하고,1
공공,1
금융권,1
회사들의,1
"시스템통합(SI,",1
System,1
Integration),1
사업을,3
수행하는,1
데에,1
SI,1
수주,1
고객의,1
요구에,1
맞추어,1
프로젝트를,1
개발인력이,1
신규,4
투입되고,1
진행률에,1
매출과,1
비용을,1
인식하기,1
때문에,1
구조적으로,1
마진율,1
개선이,1
어렵다.,1
곽호인,1
연구원은,2
“하지만,1
AI는,1
보유,2
응용한,1
개발과,1
표준화에,1
성공했다”면서,1
“개발이,1
완료된,1
공공·의료·헬스케어,1
여러,1
부문별,1
고객사에,1
납품해,1
추가적인,1
영업비용,1
발생,1
없이,1
판매,1
제품당,1
구독료,1
방식으로,1
매출을,1
수익,1
구조를,1
확립했다”고,1
말했다.셀바스AI는,1
매출,1
확대에,1
힘입어,1
가이던스로,1
별도,1
30%,1
성장과,1
영업비용(170억~180억원)을,1
제시하고,1
미래,1
먹거리로,1
메타버스·대체불가토큰(NFT),1
추진하고,2
생태계,1
내에서,1
동사의,1
음성합성,1
솔루션의,1
중요성이,1
커질,1
판단하기,1
때문이다.,1
지난해,1
12월,1
위지윅스튜디오(299900)와,1
양해각서(MOU)를,1
"체결하고,",1
올,1
3월에는,1
BMP엔터와,1
MOU를,1
체결해,1
BMP엔터,1
아티스트들의,1
목소리를,1
그대로,1
구현하는,1
디지털트윈,1
있다.곽,1
“표준화된,1
성공해,2
영업,1
레버리지,1
발생이,1
가능한,1
유일의,1
업체”라면서,1
“지난,1
3년간,1
개발,1
공급에,1
안정적인,1
매출원을,1
있다는,1
점이,1
강점”이라고,1
강조했다.,1
이승주,1
투비소프트가,1
삼덕회계법인,1
출신,1
조진용,2
해냄세무회계사무소,2
대표를,1
사외이사로,2
선임했다.,2
그는,1
에디슨EV의,1
사외이사이기도,1
하다.,1
이,1
밖에,1
정승현,2
태원보코리아,1
이사도,1
임기는,1
3년이다.,1
투비소프트(079970)는,1
사외이사에,1
대표와,1
애니팬고문을,1
선임했다고,1
