단어
이데일리
양지윤
기자
셀바스는
지난해
연결기준
매출액이
억원
영업이익은
억원을
기록했다고
일
공시했다
전년보다
매출액은
""
늘었지만
""
감소했다
연간
기준
역대
최대
규모다
셀바스는
인공지능
기반
제품들이
매출을
견인했다고
설명했다
회사
관계자는
셀비
노트를
포함한
음성인식
전년
대비
""
셀비
체크업
등
""
헬스케어
""
이상
늘었다고
특히
노트
스피치
에듀
주요
제품들의
영업이익율은
평균
이상을
기록했다
셀바스의
음성인식
음성합성
필기
광학식
문자판독장치
인식기술은
사람과
기기
간
효율적
소통을
위해
국내
대기업
금융권
공공기관
병원
다양한
분야에서
활용되고
있다
셀바스
인공지능
시장에서
높은
기술력과
사업성을
가진
융합
제품
수요가
지속적으로
증가하고
있어
탄탄한
실적을
기록할
수
있었다며
기업
중
유일하게
성장세가
돋보이는
기업으로
실적도
최대로
전망한다고
말했다
실적
셀바스
제공
인공지능음성인식
셀바스가
사상
달성했다고
밝혔다셀바스에
따르면
회사는
매출액
영업이익
별도기준으로도
별도기준
억원
억원으로
각각
""
""
올랐다셀바스는
인공지능을
기반으로
한
서비스가
매출
상승을
이끌었다는
입장이다
서비스
인공지능
상승했다
이
밖에
영업이익률도
기록해
호실적을
견인했다현재
인식
기술은
기업
곳에서
제품들에
대한
이용자
유입을
늘려
성장세를
이어간다는
계획이다셀바스
""
지속해서
있었다고
년
억
원
↑
억
원별도기준
억
↑
억
↑
제품화를
통해
양적
""
질적
성장기반
확보이데일리
김현아
기자셀바스가
달성하며
성장을
이어가고
있다셀바스는
억원을
기록하면서
공시를
밝혔다
억원이다별도기준으로도
년도
전년대비
성장했다
성장의
기반을
견고히
다지면서
견인했다
년
""
성장했고
이끌었다셀바스의
여기에
고객
확대
집중을
견고한
이어갈
당사의
기사내용
요약연결기준
억원별도기준
억원음성인식헬스케어
각
↑주요
제품들
영업이익률
이상
제품화
양적질적
성장
확보서울뉴시스
오동현
기자
""
인공지능음성인식
달성했다
매출은
영업이익률은
있다셀바스
헤럴드경제증권부
영업이익이
억만원으로
감소했다고
공시했다같은
기간
억만원으로
증가한
것으로
나타났다당기순이익은
억만원으로
""
늘어난
집계됐다
김소연
셀바스가
대화
내용을
자동으로
기록하는
음성기록
솔루션
셀비
노트
를
특허청에
공급하고
특별사법경찰관의
조사업무
효율
향상에
기여한다고
일
노트는
수사과정에서
이루어지는
음성
진술을
텍스트
변환해
기록
및
저장하고
이를
데이터베이스화하는
조서
작성
솔루션이다
특허청
특별사법경찰관은
특허영업비밀디자인상표
침해
지식재산권에
수사
시
활용한다
증거수집
진술조서
조사
과정에서
수집된
녹음
파일을
노트에
업로드해
조서를
작성할
있는
비
실시간
방식뿐
아니라
말하는
즉시
화자가
구분돼
음성기록이
작성되는
실시간
방식
모두를
지원
중이다
사진셀바스
그룹
폴더
업로드
기능
업데이트를
비
조서작성
시
특별사업경찰관의
업무
편의성이
높아진다
기존
버전은
개별
파일
하나하나를
개까지만
업로드
가능했지만
개수와
상관없이
그룹
폴더를
번에
올릴
여러
개의
문서로
편리하게
변환시킬
윤재선
장은
그룹
기능을
비롯해
앞으로도
니즈를
듣고
필요한
꾸준히
강화하겠다며
