날짜,제목,내용
 2023.03.22 09:38,"[특징주]위세아이텍, 셀바스AI·코난테크 대비 저평가…빌 게이츠 ""AI가 세상 바꿀 것""","			 위세아이텍이 강세다. 국내 소프트웨어 업종 평균 대비 저평가 상태라는 증권사 분석보고서가 주가에 영향을 준 것으로 보인다.22일 오전 9시37분 위세아이텍은 전날보다 20.44% 오른 2만2100원에 거래되고 있다.유진투자증권은 위세아이텍에 대해 국내 최초로 인공지능(AI) 개발 플랫폼을 출시해 실적이 급성장하고 있다고 분석했다.박종선 유진투자증권 연구원은 ""2025년까지 국내 AI 시장이 연평균 16% 성장할 것으로 전망한다""며 ""위세아이텍의 AI플랫폼 매출은 2019년 14억원에서 지난해 124억원으로 늘었다""고 설명했다.이어 ""정부가 디지털 플랫폼 구현을 위해 AI 산업을 육성하고 있다""며 ""위세아이텍 실적 개선에 기여할 것""이라고 덧붙였다.박 연구원은 ""국내 빅데이터 시장은 연평균 23% 성장할 것으로 예상한다""며 ""위세아이텍이 시장지배력을 바탕으로 안정적인 실적 성장을 이어가고 있다""고 분석했다.그는 ""IT 리서치 기관인 가트너에서 빅데이터 품질 분야 시장점유율 1위를 달성했다""며 ""나라장터 쇼핑몰 구매 기준으로 시장점유율 56%로 1위를 유지했다""고 소개했다.박 연구원은 ""올해 예상 실적 기준 전날 종가 1만8350원은 주가수익비율(PER) 21.7배로 소프트웨어 업종 평균 PER 46.3배 대비 저평가 상태""라며 ""셀바스AI, 알체라, 비투엔, 솔트룩스, 코난테크놀로지 등 국내 AI 관련 기업 대비 크게 저평가 상태""라고 강조했다.빌 게이츠 마이크로소프트 창업자는 21일(현지시각) 자신의 블로그를 통해 ""AI 시대가 열렸다""며 ""오픈AI의 GPT AI 모델이 1980년 그래픽 데스크톱 인터페이스(GUI) 이후 가장 혁신적""이라고 말했다.이어 ""AI의 발전은 마이크로프로세서, PC, 인터넷, 휴대폰의 탄생만큼 근본적인 것""이며 ""사람들이 일하고, 배우고, 여행하고, 건강 관리를 받고, 서로 소통하는 방식을 바꿀 것""이라고 소개했다. 그는 ""전체 산업이 AI를 중심으로 방향을 바꿀 것""이며 ""기업들은 AI를 얼마나 잘 사용하느냐에 따라 차별화될 것""이라고 강조했다."
 2023.03.21 14:56,[이 주의 관.종.]에코프로보다 더 올라…챗GPT 열풍에 뜨거운 셀바스AI,"올 들어 주가 320.39% 급등, 연일 최고가 경신교육과 비대면 진료로까지 사업 확장해 성장성 돋보여편집자주성공 투자를 꿈꾸는 개미 투자자 여러분. ‘내돈내산’ 주식, 얼마나 알고 투자하고 계신가요. 정제되지 않은 온갖 정보가 난무한 온라인 환경에서 아시아경제는 개미 여러분들의 손과 발, 눈과 귀가 되어 기업에 대한 정확한 정보를 전해드리려고 합니다. 한 주 동안 금융정보 제공 업체인 에프앤가이드의 종목 조회수 상위권에 오른 기업을 중심으로 기본적인 정보에서부터 협력사, 고객사, 투자사 등 연관 기업에 대한 분석까지 함께 전달합니다. 기업의 재무 상황과 실적 현황, 미래 가치까지 쉽게 풀어서 전하겠습니다. 이 주의 관심 종목, 이른바 ‘이 주의 관.종.’이라는 이름으로 매주 여러분을 찾아갑니다. 이번 주에는 AI 챗봇(챗GPT) 관련 기업으로 투자자들의 관심을 받고 있는 셀바스AI를 분석했습니다.올 들어 주식시장을 뜨겁게 달군 2차전지주보다 더 큰 폭의 상승률을 기록한 종목이 있다. 바로 챗GPT 관련주 셀바스AI다. 셀바스AI 주가는 올해만 300%, 두 달 새 4배가 넘는 상승률을 기록했다. 상장 약 14년 만에 연일 최고가를 경신했다. 셀바스AI는 금융정보업체 에프앤가이드에서도 검색수 상승률 1위(20일 기준), 종목 검색 3위를 기록하면서 투자자들의 뜨거운 관심을 받고 있다.국내 인공지능 1호 상장사…유일하게 표준화된 제품 개발셀바스AI는 1999년 설립돼 2009년 코스닥 시장에 상장한 국내 1호 인공지능(AI) 전문 기업이다. 딥러닝 기술을 기반으로 음성지능·필기지능·영상지능 등의 패턴 인식 기술을 개발했다. 이를 바탕으로 음성인식·음성합성 등 자체 기술로 AI 관련 서비스를 제공하고 있다. 셀바스AI는 현재 음성합성 국내 시장점유율 1위(B2B 기준)다. 음성인식 솔루션 인식률은 98%에 이른다. 국내 유일 필기지능 기업으로 컴퓨터와 사람 간 상호작용을 쉽게 하는 HCI(Human Computer Interation) 기술도 보유하고 있다. HCI  기술은 인공지능의 핵심 기술 중 하나다. 셀바스AI는 음성임식, 음성합성, 자연어 처리 등에서 국내 최고 수준의 기술력을 보유하고 있다. 이런 기술력 덕에 삼성전자·LG유플러스·삼성생명 등을 주요 고객사로 확보했다.셀바스AI의 전신은 1997년 설립된 인프라웨어다. 곽민철 현 셀바스AI 대표가 인프라웨어 창업자다. 인프라웨어는 소프트웨어 솔루션 기업으로 프린팅 솔루션, 모바일 오피스, 클라우드 등 다양한 분야로 사업을 확장해왔다. 그중 하나가 디오텍으로, 필기인식 기술을 전문으로 하는 회사다. 디오텍은 2016년 셀바스AI로 사명을 바꾸고 AI 전문 기업으로 변모했다.기업 지배구조도 변화했다. 셀바스AI를 모기업으로, 셀바스헬스케어 등을 자회사로 뒀다. 계열사가 주력사업을 바꾸고, 계열사와 모회사가 바뀌는 등의 변화 과정을 거쳐 현재의 셀바스AI 모습을 갖추게 됐다. 현재 최대주주는 곽민철 대표이사다. 곽 대표는 266만주(약 14%)를 소유하고 있다.셀바스AI의 핵심 사업은 음성인식 분야다. 대표 제품은 '셀비노트'다. 사람의 음성을 AI가 인식해 텍스트로 변환해주는 서비스로, 네이버의 '클로바노트'와 유사하다.셀바스AI가 국내의 여타 AI 관련 기업들과 차별화되는 점은 표준화된 제품 개발에 성공했다는 것이다. 국내 챗GPT 관련 기업 대부분이 기술은 보유하고 있지만 표준화된 제품 개발에는 이르지 못해 공공 및 금융회사들의 시스템 통합 사업을 수행하는 데에 그치고 있다. 이 때문에 사업 수주 때 고객 요구에 맞춰 프로젝트에 필요한 개발 인력을 새로 투입하고, 진행률에 따라 매출과 비용을 인식하기 때문에 구조적으로 마진율을 개선하기 어렵다.셀바스AI는 다르다. HCI 기술을 응용한 AI 제품의 개발과 표준화에 성공해 개발을 완료한 제품을 공공 및 의료, 헬스케어 등 여러 고객사에 납품해 추가적인 영업비용 발생 없이 제품 판매당 연간 구독료 방식으로 매출을 인식하는 수익구조를 확립했다. 이에 따라 셀바스AI의 지난해 연결기준 매출액은 503억원으로 역대 최대치를 기록했다. 영업이익은 50억원에 이른다. 셀비노트를 포함한 음성인식 매출액은 2021년 대비 40% 성장, 셀비 체크업 등 AI 헬스케어 매출액은 50% 이상 성장했다. 한제윤 KB증권 연구원은 “AI시장의 구조적 성장에 따라 셀바스AI의 지속적 수혜가 예상된다”며 “국내 많은 AI기업이 용역 매출에 의존하고 있는 상황에서 AI 제품 매출이 용역 매출을 상회한다는 점은 셀바스AI가 가진 경쟁력을 숫자로 입증한 것”이라고 평가했다.포트폴리오 다각화로 성장성 ↑셀바스AI가 올 들어 증시에서 주목받게 된 건 대화형 AI 로봇서비스 ‘챗GPT'가 등장하면서다. 셀바스AI 주가는 올 들어(1월2일~3월20일) 320.39%, 자회사인 셀바스헬스케어 주가는 304.31% 급등했다. 셀바스AI와 셀바스헬스케어는 올 들어 코스피와 코스닥 시장을 합쳐 가장 많이 오른 종목 각각 2, 4위를 기록했다. 이 기간 셀바스AI 주가는 6720원에서 2만8250원으로, 셀바스헬스케어는 2090원에서 8450원으로 올랐다.셀바스AI는 최근 교육과 비대면 진료로까지 사업을 확장해 성장성이 돋보인다는 평가를 받고 있다. 지난 2월23일 교육부는 오는 2025년부터 교육현장에 AI 디지털 교과서 도입을 추진한다고 공식 발표한 바 있다. AI 기술이 탑재된 디지털 교과서로 학습 도구가 변화하며 관련 교육 및 AI 산업의 성장을 가속화시킬 것으로 전망된다.실제로 교육부의 이 같은 발표에 셀바스AI가 가장 큰 수혜를 입을 것으로 보인다. 교육부의 디지털 교과서 뷰어 및 플랫폼 사업을 운영하는 주관사는 셀바스AI로 다년간 관련 사업을 수행해온 바 있다. 셀바스AI 내 에듀테크랩은 2019년부터 교육부의 ‘지능형 학습 서비스 플랫폼’ 개발자로 선정돼 여러 가지 기술 개발을 주도하기도 했다. 현재는 음성과 필기인식 등 다양한 AI 기술을 교육 분야에 접목해 연계 가능한 기술력까지 확보한 상태다.셀바스AI의 음성인식 기술은 정부가 추진 중인 비대면 진료 분야에서도 빛을 발할 것으로 보인다. 보건복지부는 비대면 진료 제도화를 추진할 것으로 발표했다. 현재 재진환자와 의료 취약지역 환자에 한해 전화 상담 등을 통한 진료를 허용하는 의료법 개정을 준비 중이다. 의료계와 마찰 등의 문제도 있지만, 의료 접근성 향상과 진료 수단 다양화 등 여러 긍정적 효과를 기대할 수 있다는 점에서 정부의 비대면 진료 관련 의료법 개정 가능성이 크다. 비대면 진료 시행 때 AI 기술 접목은 필수적으로 셀바스AI가 보유하고 있는 음성인식 AI기술을 채택할 것으로 기대된다. 셀바스AI의 주력 제품은 대화를 기록하고 최종적으로 보고서화 하는 기능이 탑재된 제품으로 수요가 많을 것으로 전망된다. ‘셀비 메디보이스’라는 병원을 타깃으로 한 제품을 보유한 셀바스AI가 비대면 진료 수혜주로 각광 받을 가능성도 크다.이 밖에 셀바스AI는 신성장동력으로 메타버스랩을 설립해 메타버스와 대체불가토큰(NFT) 사업 신규 진출도 도모하고 있다. 2021년 12월 확장현실(XR) 콘텐츠 제작사인 위지윅스튜디오와 메타버스 플랫폼 구축을 위한 업무협약(MOU)를 체결해 영화와 드라마, 게임, XR 콘텐츠 등 다양한 분야에서 음성·목소리를 합성하고 재현하는 기술을 준비 중이다. 곽호인 삼성증권 연구원은 “셀바스AI는 보유 솔루션을 활용해 제품화에 성공했기 때문에 최근 정부의 공공부문 소프트웨어 생태계 대전환 기조에 수혜를 입을 전망”이라며 “솔루션을 제품화하는 데 3년 정도의 시간과 비용이 소요된다는 점을 감안하면 선점 효과 또한 누릴 수 있을 것”이라고 내다봤다.테슬라보다 높은 PER로 주가 고평가 논란국내 최고 수준의 기술력을 갖추고 그것을 바탕으로 표준화된 제품 개발에 성공한 셀바스AI지만 산업 특성상 한계점도 분명 존재한다. 인공지능(AI) 시장이 아직 태동기라는 점, AI 관련 시장이 우리나라보다는 미국 등 해외 중심으로 형성되고 있다는 점이다. 당장 투자와 관련해서도 AI 관련 기업 보고서도 찾기 힘든 실정이다.높은 기술력에 제품 상용화에도 성공했지만, 주가가 과도하게 부풀려졌다는 점도 위험 요인이다. 현재 셀바스AI의 시가총액은 7034억원(21일 기준)으로, 시가총액 순위로는 코스닥 시장 80위를 차지하고 있다. 현재 셀바스AI의 주가수익비율(PER)은 134.63배 수준으로 테슬라 PER이 30~40배인 것을 감안할 때 지나치게 고평가 됐다는 평가다. 동일 업종 PER 대비해서도 9.38배나 더 높은 수준이다.네이버와 카카오, 이동통신 3사 등 대기업들이 앞다퉈 AI 시장 진출하고 있다는 점도 잠재적 위험 요인으로 꼽힌다. 현재 국내에서 AI 기술 개발에 가장 앞서있다고 평가받는 곳은 바로 네이버와 카카오다. 네이버는 2013년 딥러닝을 활용한 음성인식 서비스를 내놓은 바 있다. 카카오 역시 AI 연구조직인 ‘카카오브레인’으로 AI 생태계 확장에 나섰다. SK텔레콤·LG유플러스·KT 등도 사물인터넷, AI 스피커 사업을 영위하고 있는 만큼 AI 사업을 차세대 먹거리로 삼고 있다. 한제윤 KB증권 연구원은 “챗GPT의 등장으로 AI 기업들에 대한 관심이 뜨거우나, 챗GPT의 실적이 시장의 기대보다 저조할 수 있다”며 “이는 국내 AI 기업들의 투자심리에 영향을 미칠 수 있다”고 분석했다. "
 2023.03.08 14:40,"[게시판] 한컴위드-셀바스AI, 블록체인·보안 기술협력 협약",한컴위드-셀바스AI 로고[한컴위드 제공. 재판매 및 DB 금지]▲ 한컴위드는 인공지능(AI) 전문기업 셀바스AI와 블록체인 및 보안 기술 협력을 위한 업무협약을 체결했다고 8일 밝혔다. 한컴위드는 셀바스AI의 질환 발병 확률 예측 서비스 '셀비 체크업' 등에 데이터 암호화 기술을 접목할 예정이다. (서울=연합뉴스)
 2023.03.08 11:53,"한컴위드, 셀바스AI와 블록체인 보안 기술 확산","한컴위드 기술 접목해 ‘셀비 체크업’ 고도화한컴위드 NFT 사업에 셀바스AI 기술 도입한컴위드 로고(CI). [제공 한컴위드][이코노미스트 정두용 기자] 한컴위드가 블록체인을 기반으로 한 보안 기술을 통해 사업 확장에 나선다.한컴위드는 인공지능(AI) 전문기업 셀바스AI와 블록체인 및 보안 기술 협력을 위한 업무협약을 체결했다고 7일 밝혔다.셀바스AI는 이번 협약을 통해 보험·마이데이터 사업자에게 공급 중인 AI 질환 발병 확률 예측 제품 ‘셀비 체크업’(Selvy Checkup)에 한컴위드의 데이터 암호화 기술을 접목한다. 이를 기반으로 보안성이 강화된 모바일 서비스 제품으로 고도화할 예정이다. 또 한컴위드와 한글과컴퓨터(한컴)가 추진 중인 한국예술문화단체총연합회(한국예총)의 회원 및 저작권 관리를 위한 블록체인 기반 대체불가토큰(NFT) 통합 플랫폼 개발 사업에도 셀바스AI의 기술을 활용할 방침이다. 음악·미술작품 등을 새로운 디지털 콘텐츠로 생성하는 기술협력도 추진한다.한컴위드는 정보보안 1세대 기업으로 ▲블록체인 ▲차세대 인증·보안 ▲가상자산 등의 사업을 영위하고 있다. 셀바스AI는 음성인식·음성기록 기술을 경찰서·지자체·소방본부에 상용화한 경험이 있다. 올해는 특허청 특수사법경찰·대형 로펌 등에 기술을 공급할 계획이다.한컴위드 관계자는 “각종 데이터 및 콘텐츠를 이용한 서비스의 보안이 날로 강화되고 있는 만큼, 양사의 강점을 살려 다양한 분야로 협력을 확대해 나가겠다”고 전했다.셀바스AI 관계자는 ""당사의 특화된 인공지능 기술과 한컴위드의 보안 기술이 결합됨으로써 양사 간 시너지가 극대화될 것으로 기대한다”고 말했다."
 2023.03.08 11:35,"한컴위드, 셀바스AI와 블록체인·보안 기술 '협력'","셀바스AI 발병 확률 예측 제품에 한컴위드 암호화기술 접목블록체인 기반 NFT 통합 플랫폼 사업도 협력 기회 발굴[이데일리 함정선 기자] 한컴위드는 인공지능(AI) 전문기업 셀바스AI와 블록체인과 보안 기술 협력을 위한 업무협약을 체결했다고 8일 밝혔다.이번 협약으로 두 회사는 셀바스AI가 보험, 마이데이터 사업자에 공급 중인 인공지능(AI) 질환 발병 확률 예측 제품 ‘셀비 체크업(Selvy Checkup)’에 한컴위드의 데이터 암호화 기술을 접목해 보안을 강화한 모바일 서비스 제품으로 고도할 전략이다. 또한 한컴위드와 한컴이 추진 중인 한국예술문화단체총연합회의 회원과 저작권 관리를 위한 블록체인 기반 NFT 통합 플랫폼 개발 사업에도 셀바스AI의 기술을 활용해 음악, 미술작품 등을 새로운 디지털 콘텐츠로 생성하는 기술협력도 추진할 예정이다.한컴위드 관계자는 “각종 데이터와 콘텐츠를 이용한 서비스의 보안이 강화하고 있는 만큼, 양사의 강점을 살려 다양한 분야로 협력을 확대해 나가겠다”고 말했다.한컴위드는 정보보안 1세대 기업으로 블록체인, 차세대 인증·보안, 가상자산 등의 사업을 영위하고 있으며, 셀바스AI는 음성인식, 음성기록 기술을 경찰서, 지자체, 소방본부에 상용화한 경험을 토대로해 올해는 특허청 특수사법경찰, 대형 로펌 등으로 확산하고 있다."
 2023.03.08 10:39,"한컴위드-셀바스AI, '블록체인·보안·인공지능' 기술협력","기사내용 요약AI 질환 발병 확률 예측 제품에 데이터 암호화 기술 접목음악·미술작품 등을 새로운 디지털 콘텐츠로 생성하는 기술협력도 추진[서울=뉴시스] 오동현 기자 = 한컴위드는 인공지능(AI) 전문기업 셀바스AI와 블록체인 및 보안 기술 협력을 위한 업무협약을 체결했다고 7일 밝혔다.이번 협약을 통해 셀바스AI가 보험, 마이데이터 사업자에게 공급 중인 AI 질환 발병 확률 예측 제품 ‘셀비 체크업’에 한컴위드의 데이터 암호화 기술을 접목해 보안성이 강화된 모바일 서비스 제품으로 고도화할 예정이다. 또한 한컴위드와 한컴이 추진 중인 한국예술문화단체총연합회의 회원 및 저작권 관리를 위한 블록체인 기반 대체불가토큰(NFT) 통합 플랫폼 개발 사업에도 협력한다. 셀바스AI의 기술을 활용해 음악, 미술작품 등을 새로운 디지털 콘텐츠로 생성하는 기술협력을 추진할 예정이다.한컴위드 관계자는 “각종 데이터 및 콘텐츠를 이용한 서비스의 보안이 날로 강화되고 있는 만큼, 양사의 강점을 살려 다양한 분야로 협력을 확대해 나가겠다”고 전했다.셀바스AI 관계자는 ""당사의 특화된 AI 기술과 한컴위드의 보안 기술이 결합됨으로써 양사간 시너지가 극대화될 것으로 기대하고 있다”고 말했다.한컴위드는 정보보안 1세대 기업으로 블록체인, 차세대 인증·보안, 가상자산 등의 사업을 영위하고 있다. 셀바스AI는 음성인식, 음성기록 기술을 경찰서, 지자체, 소방본부에 상용화한 경험을 토대로 올해는 특허청 특수사법경찰, 대형 로펌 등으로 확산 중이다. "
 2023.03.08 09:06,"한컴위드, 셀바스AI와 블록체인 및 보안 기술 협력","			 [한컴위드는 보안 기술, 셀바스AI는 블록체인 기술 제공]한컴위드 CI. /사진=한글과컴퓨터한컴위드는 AI(인공지능) 기업 셀바스AI와 블록체인 및 보안 기술 협력을 위한 업무협약을 체결했다고 8일 밝혔다.이번 협약으로 한컴위드는 자사 데이터 암호화 기술을 셀바스AI의 AI 질환 발병 확률 예측 제품 '셀비 체크업'에 접목한다. 해당 제품을 보험과 마이데이터 사업자에 공급 중이다. 셀바스AI는 자사 AI 기술을 한글과컴퓨터가 추진 중인 NFT(대체 불가능 토큰) 서비스에 접목한다. 한컴과 한컴위드는 한국예술문화단체총연합의 회원 및 저작권 관리를 위한 블록체인 기반 NFT 통합 플랫폼 개발 사업을 진행 중이다. 한컴위드와 셀바스AI는 음악·미술작품 등을 디지털 콘텐츠로 생성하는 기술협력도 추진할 예정이다.  한컴위드 관계자는 ""각종 데이터 및 콘텐츠를 이용한 서비스의 보안이 날로 강화되고 있는 만큼, 양사의 강점을 살려 다양한 분야로 협력을 확대해 나가겠다""고 했다.셀바스AI 관계자는 ""당사의 특화된 인공지능 기술과 한컴위드의 보안 기술이 결합함으로써 양사 간 시너지가 극대화될 것으로 기대하고 있다""고 했다."
 2023.03.08 08:19,"셀바스AI-한컴위드, 블록체인·보안 기술협력 업무협약","			 [이데일리 양지윤 기자] 셀바스AI(108860)는 한컴위드(054920)와 블록체인 및 보안 기술 협력을 위한 업무협약을 체결했다고 8일 밝혔다. 이에 따라 셀바스AI가 보험, 마이데이터 사업자에게 공급 중인 인공지능(AI) 질환 발병 확률 예측 제품 ‘셀비 체크업(Selvy Checkup)’에 한컴위드의 데이터 암호화 기술을 접목, 보안성이 강화된 모바일 서비스 제품으로 고도화할 예정이다.한컴위드와 한컴이 추진 중인 한국예술문화단체총연합회(이하 한국예총)의 회원 및 저작권 관리를 위한 블록체인 기반 대체불가토큰(NFT) 통합 플랫폼 개발 사업에도 셀바스AI의 기술을 활용한다. 음악, 미술작품 등을 새로운 디지털 콘텐츠로 생성하는 기술협력도 추진할 예정이다. 셀바스AI 관계자는 “당사의 특화된 인공지능 기술과 한컴위드의 보안 기술이 결합함으로써 양사간 시너지가 극대화될 것으로 기대한다”고 말했다.한컴위드 관계자는 “각종 데이터 및 콘텐츠를 이용한 서비스의 보안이 날로 강화되고 있는 만큼, 양사의 강점을 살려 다양한 분야로 협력을 확대해 나가겠다”고 했다."
 2023.03.06 13:57,"셀바스AI, 'AI 디지털교과서' 사업 추진","기사내용 요약2025년부터 초·중·고교 'AI 디지털교과서' 도입셀바스AI, 교육부 디지털교과서 뷰어·플랫폼 운영 주관사[서울=뉴시스] 오동현 기자 = 인공지능(AI) 전문기업 셀바스AI가 정부의 교육혁신 방안에 발맞춰 'AI 디지털교과서' 사업을 추진한다고 6일 밝혔다.교육부는 지난달 23일 디지털 기반 교육혁신 방안의 일환으로 교육현장에 2025년부터 AI 디지털교과서를 도입한다고 발표했다. 2025년부터 초·중·고교에서 수학, 영어, 정보 교과를 AI 기술을 탑재한 디지털 교과서로 배우게 된다. AI를 활용해 학생들의 학습 데이터를 실시간으로 수집·분석해 교사들이 수업에 활용하면 학생 특성에 맞는 맞춤 수업이 가능할 것으로 보고 있다.현재 교육부의 디지털교과서 뷰어 및 플랫폼 사업을 운영하고 있는 주관사는 셀바스AI다. 셀바스AI는 다년간 디지털교과서 서비스 사업을 진행하면서 디지털교과서 콘텐츠 제작에서부터 뷰어와 플랫폼의 기능 고도화에까지 이르는 기술을 축적하고 있다. 또한 이미 국내 다양한 교육기업들과의 협업을 통해 음성인식, 필기인식 등 다양한 AI 기술을 교육 분야에 연계 활용하고 있다.셀바스AI는 이번 교육부 발표에 발맞춰 학생 개인별 학습 수준에 맞는 교육 콘텐츠를 제공하고 교육 격차를 해소하기 위한 단계별 AI 교육과정을 추가 개발해 학생들의 역량 강화와 교수 학습도 지원할 예정이다.AI 기술 및 에듀테크 전문가로 구성된 셀바스AI 에듀테크랩은 2019년부터 교육부 산하 한국교육학술정보원의 '지능형 학습 서비스 플랫폼' 개발 사업자로 선정돼 학습 분석에 필요한 ‘학습 자원 지도, 지식수준 진단 모델, 성취도 예측 모델, 콘텐츠 추천 모델’ 등을 개발했다. 이를 기반으로 디지털교과서 학습활동으로부터 수집된 다양한 데이터를 분석하고 진단과 처방을 제공함으로써 자기주도학습, 문제해결, 의사소통 등의 역량을 강화할 수 있는 맞춤형 학습 분석 플랫폼 사업을 진행 중이다.자체 개발한 셀펍(Selpub)은 기존의 종이책을 디지털교과서로 손쉽게 전환하고 교수·학습용 콘텐츠와 인터랙션을 삽입해 효과적인 교수·학습용 기능들을 활용할 수 있는 솔루션이다. 손쉬운 저작 기능을 제공해 디지털교과서 개발 비용을 절감하고 일반인들도 자유롭게 ‘나만의 디지털교과서’를 제작할 수 있게 지원한다. 이미 주요 교과서 발행사와 공공기관에서 셀펍을 도입해 디지털교과서와 교재를 제작하고 실제 서비스 사업을 운영 중이다.박재우 셀바스AI 에듀테크 사업대표는 “셀바스AI는 다양한 AI 기반 인식 기술과 빅데이터 분석 기술에 더해 디지털교과서 개발 기술까지 모두 보유하고 있어서 이번에 교육부에서 발표한 AI 디지털교과서 사업에 가장 부합하는 전문 기업이다. 교육 전문가와 디지털교과서 개발자, AI 전문가가 한 팀을 이뤄 융합 교육 서비스를 만들어 냄으로써 개발에 들어가는 공수는 줄이고 사용자의 학습 효과는 극대화하는 결과를 제공하겠다”고 말했다.이어 “지난 3년간의 AI 디지털교과서 사업화 경험과 교육 현장의 목소리를 반영한 제품도 준비하는 등 AI 디지털교과서 사업을 중심으로 에듀테크 시장을 선도해 나가겠다”고 말했다. "
 2023.03.06 11:06,"셀바스AI ""2025년 디지털교과서 도입 발맞춰 AI 사업 강화""","교육부, 2025년부터 AI 디지털교과서 본격 도입인공지능 전문기업 셀바스AI가 다양한 에듀테크 사업화 경험을 바탕으로 정부의 교육혁신 방안에 발맞춰 AI 디지털교과서 사업을 적극 추진한다고 6일 밝혔다.앞서 교육부는 지난달 23일 디지털 기반 교육혁신 방안의 일환으로 교육현장에 2025년부터 AI 디지털교과서를 도입한다고 발표했다. 이로써 2025년부터 초·중·고교에서 학생들은 수학, 영어, 정보 교과를 인공지능(AI) 기술을 탑재한 디지털 교과서로 배우게 된다. 교육계에선 인공지능을 활용해 학생들의 학습 데이터를 실시간으로 수집, 분석해 교사들이 수업에 활용하면 학생 특성에 맞는 맞춤 수업이 가능할 것으로 보고 있다.현재 교육부의 디지털교과서 뷰어·플랫폼 사업을 운영하고 있는 주관사는 셀바스AI다. 셀바스AI는 이번 교육부 발표에 발맞춰 학생 개인별 학습 수준에 맞는 교육 콘텐츠를 제공하고 교육 격차를 해소하기 위한 단계별 AI 교육과정을 추가 개발해 학생들의 역량 강화와 교수 학습도 지원한다는 방침이다.박재우 셀바스AI Edu-Tech 사업대표는 ""교육 전문가와 디지털교과서 개발자, 인공지능 전문가가 한 팀을 이루어 융합 교육 서비스를 만들어 냄으로써 개발에 들어가는 공수는 줄이고 사용자의 학습 효과는 극대화하는 결과를 제공하겠다""고 말했다."
